unesco_id,nome,descrizione,regione,citta,lat,long,categoria,anno,wheelchair,ausili_visivi,supporto_uditivo,note
93,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,"The refectory of the Convent of Santa Maria delle Grazie forms an integral part of this architectural complex, begun in Milan in 1463 and reworked at the end of the 15th century by Bramante. On the north wall is The Last Supper, the unrivalled masterpiece painted between 1495 and 1497 by Leonardo da Vinci, whose work was to herald a new era in the history of art.",Europe and North America,"Province of Milano, Lombardy",45.466,9.171,Cultural,1980,1,1,0,
394,Venice and its Lagoon,"Founded in the 5th century and spread over 118 small islands, Venice became a major maritime power in the 10th century. The whole city is an extraordinary architectural masterpiece in which even the smallest building contains works by some of the world's greatest artists such as Giorgione, Titian, Tintoretto, Veronese and others.",Europe and North America,"Province of Venezia, Veneto Region",45.43430556,12.33894444,Cultural,1987,1,0,0,
670,The Sassi and the Park of the Rupestrian Churches of Matera,"This is the most outstanding, intact example of a troglodyte settlement in the Mediterranean region, perfectly adapted to its terrain and ecosystem. The first inhabited zone dates from the Palaeolithic, while later settlements illustrate a number of significant stages in human history. Matera is in the southern region of Basilicata.",Europe and North America,"City and Province of Matera, Region of Basilicata",40.66638889,16.61027778,Cultural,1993,1,0,0,
717,Historic Centre of Siena,"Siena is the embodiment of a medieval city. Its inhabitants pursued their rivalry with Florence right into the area of urban planning. Throughout the centuries, they preserved their city's Gothic appearance, acquired between the 12th and 15th centuries. During this period the work of Duccio, the Lorenzetti brothers and Simone Martini was to influence the course of Italian and, more broadly, European art. The whole city of Siena, built around the Piazza del Campo, was devised as a work of art that blends into the surrounding landscape.",Europe and North America,"City and Province of Siena, Tuscany",43.31861111,11.33166667,Cultural,1995,1,0,1,
730,Crespi d'Adda,"Crespi d'Adda in Capriate San Gervasio in Lombardy is an outstanding example of the 19th- and early 20th-century 'company towns' built in Europe and North America by enlightened industrialists to meet the workers' needs. The site is still remarkably intact and is partly used for industrial purposes, although changing economic and social conditions now threaten its survival.",Europe and North America,"Province of Bergamo, Lombardy",45.59333,9.53833,Cultural,1995,1,0,0,
788,Early Christian Monuments of Ravenna,"Ravenna was the seat of the Roman Empire in the 5th century and then of Byzantine Italy until the 8th century. It has a unique collection of early Christian mosaics and monuments. All eight buildings – the Mausoleum of Galla Placidia, the Neonian Baptistery, the Basilica of Sant'Apollinare Nuovo, the Arian Baptistery, the Archiepiscopal Chapel, the Mausoleum of Theodoric, the Church of San Vitale and the Basilica of Sant'Apollinare in Classe – were constructed in the 5th and 6th centuries. They show great artistic skill, including a wonderful blend of Graeco-Roman tradition, Christian iconography and oriental and Western styles.",Europe and North America,"City and Province of Ravenna, Emilia-Romagna Region",44.42041667,12.19625,Cultural,1996,1,1,0,
797,City of Verona,"The historic city of Verona was founded in the 1st century B.C. It particularly flourished under the rule of the Scaliger family in the 13th and 14th centuries and as part of the Republic of Venice from the 15th to 18th centuries. Verona has preserved a remarkable number of monuments from antiquity, the medieval and Renaissance periods, and represents an outstanding example of a military stronghold.",Europe and North America,"City and Province of Verona, Veneto Region",45.43861111,10.99388889,Cultural,2000,1,0,0,
830,Costiera Amalfitana,"The Amalfi coast is an area of great physical beauty and natural diversity. It has been intensively settled by human communities since the early Middle Ages. There are a number of towns such as Amalfi and Ravello with architectural and artistic works of great significance. The rural areas show the versatility of the inhabitants in adapting their use of the land to the diverse nature of the terrain, which ranges from terraced vineyards and orchards on the lower slopes to wide upland pastures.",Europe and North America,"Province of Salerno, Campania",40.6333333333,14.6027777778,Cultural,1997,1,0,0,
831,Archaeological Area of Agrigento,"Founded as a Greek colony in the 6th century B.C., Agrigento became one of the leading cities in the Mediterranean world. Its supremacy and pride are demonstrated by the remains of the magnificent Doric temples that dominate the ancient town, much of which still lies intact under today's fields and orchards. Selected excavated areas throw light on the later Hellenistic and Roman town and the burial practices of its early Christian inhabitants.",Europe and North America,"Province of Agrigento, Sicily",37.28972222,13.59333333,Cultural,1997,1,0,0,
842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula","The Cilento is an outstanding cultural landscape. The dramatic groups of sanctuaries and settlements along its three east–west mountain ridges vividly portray the area's historical evolution: it was a major route not only for trade, but also for cultural and political interaction during the prehistoric and medieval periods. The Cilento was also the boundary between the Greek colonies of Magna Graecia and the indigenous Etruscan and Lucanian peoples. The remains of two major cities from classical times, Paestum and Velia, are found there.",Europe and North America,"Province of Salerno, Campania",40.28333333,15.26666667,Cultural,1998,1,1,0,
1025,"Villa d'Este, Tivoli","The Villa d'Este in Tivoli, with its palace and garden, is one of the most remarkable and comprehensive illustrations of Renaissance culture at its most refined. Its innovative design along with the architectural components in the garden (fountains, ornamental basins, etc.) make this a unique example of an Italian 16th-century garden. The Villa d'Este, one of the first giardini delle meraviglie , was an early model for the development of European gardens.",Europe and North America,"Province of Rome, Region of Latium",41.96391667,12.79625,Cultural,2001,1,0,0,
1026,Val d'Orcia,"The landscape of Val d’Orcia is part of the agricultural hinterland of Siena, redrawn and developed when it was integrated in the territory of the city-state in the 14th and 15th centuries to reflect an idealized model of good governance and to create an aesthetically pleasing picture. The landscape’s distinctive aesthetics, flat chalk plains out of which rise almost conical hills with fortified settlements on top, inspired many artists. Their images have come to exemplify the beauty of well-managed Renaissance agricultural landscapes. The inscription covers: an agrarian and pastoral landscape reflecting innovative land-management systems; towns and villages; farmhouses; and the Roman Via Francigena and its associated abbeys, inns, shrines, bridges, etc.",Europe and North America,"Province of Siena, Tuscany",43.06666667,11.55,Cultural,2004,1,0,0,
1068,<I>Sacri Monti</I> of Piedmont and Lombardy,"The nine Sacri Monti (Sacred Mountains) of northern Italy are groups of chapels and other architectural features created in the late 16th and 17th centuries and dedicated to different aspects of the Christian faith. In addition to their symbolic spiritual meaning, they are of great beauty by virtue of the skill with which they have been integrated into the surrounding natural landscape of hills, forests and lakes. They also house much important artistic material in the form of wall paintings and statuary.",Europe and North America,Regions of Lombardy and Piedmont,45.97455556,9.169555556,Cultural,2003,0,0,0,
1158,Etruscan Necropolises of Cerveteri and Tarquinia,"These two large Etruscan cemeteries reflect different types of burial practices from the 9th to the 1st century BC, and bear witness to the achievements of Etruscan culture. Which over nine centuries developed the earliest urban civilization in the northern Mediterranean. Some of the tombs are monumental, cut in rock and topped by impressive tumuli (burial mounds). Many feature carvings on their walls, others have wall paintings of outstanding quality. The necropolis near Cerveteri, known as Banditaccia, contains thousands of tombs organized in a city-like plan, with streets, small squares and neighbourhoods. The site contains very different types of tombs: trenches cut in rock; tumuli; and some, also carved in rock, in the shape of huts or houses with a wealth of structural details. These provide the only surviving evidence of Etruscan residential architecture. The necropolis of Tarquinia, also known as Monterozzi, contains 6,000 graves cut in the rock. It is famous for its 200 painted tombs, the earliest of which date from the 7th century BC.",Europe and North America,"Provinces of Rome and Viterbo, Region of Latium",42.00683333,12.10188889,Cultural,2004,1,1,0,
1211,Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,"The Strade Nuove and the system of the Palazzi dei Rolli in Genoa’s historic centre date from the late 16th and early 17th centuries when the Republic of Genoa was at the height of its financial and seafaring power. The site represents the first example in Europe of an urban development project parcelled out by a public authority within a unitary framework and associated to a particular system of ‘public lodging’ in private residences, as decreed by the Senate in 1576. The site includes an ensemble of Renaissance and Baroque palaces along the so-called ‘new streets’ (Strade Nuove). The Palazzi dei Rolli offer an extraordinary variety of different solutions, achieving universal value in adapting to the particular characteristics of the site and to the requirements of a specific social and economic organization. They also offer an original example of a public network of private residences designated to host state visits.",Europe and North America,"Liguria Region, Genoa Province",44.4122222222,8.9311111111,Cultural,2006,1,1,1,
1287,Mantua and Sabbioneta,"Mantua and Sabbioneta represent two aspects of Renaissance town planning: Mantua shows the renewal and extension of an existing city, while some 30 km away, Sabbioneta represents the implementation of the period’s theories about planning the ideal city. Typically, Mantua’s layout is irregular with regular parts showing different stages of its growth since the Roman period and includes many historical buildings, among them an 11th century rotunda and a Baroque theatre. Sabbioneta, created in the second half of the 16th century under the rule of Vespasiano Gonzaga Colonna, can be described as a single-period city and has a right-angle grid layout. Both cities offer exceptional testimonies to the urban, architectural and artistic realizations of the Renaissance, linked through the visions and actions of the ruling Gonzaga family. The two towns are important for the value of their architecture and for their prominent role in the dissemination of Renaissance culture. The ideals of the Renaissance, fostered by the Gonzaga family, are present in the towns’ morphology and architecture.",Europe and North America,,45.1594444444,10.7944444444,Cultural,2008,1,0,0,
1237,The Dolomites,"The site of the Dolomites comprises a mountain range in the northern Italian Alps, numbering 18 peaks which rise to above 3,000 metres and cover 141,903 ha. It features some of the most beautiful mountain landscapes anywhere, with vertical walls, sheer cliffs and a high density of narrow, deep and long valleys. A serial property of nine areas that present a diversity of spectacular landscapes of international significance for geomorphology marked by steeples, pinnacles and rock walls, the site also contains glacial landforms and karst systems. It is characterized by dynamic processes with frequent landslides, floods and avalanches. The property also features one of the best examples of the preservation of Mesozoic carbonate platform systems, with fossil records.",Europe and North America,,46.6130555556,12.1630555556,Natural,2009,1,0,0,
1318,Longobards in Italy. Places of the Power (568-774 A.D.),"The Longobards in Italy, Places of Power, 568 - 774 A.D. comprises seven groups of important buildings (including fortresses, churches, and monasteries) throughout the Italian Peninsula. They testify to the high achievement of the Lombards, who migrated from northern Europe and developed their own specific culture in Italy where they ruled over vast territories in the 6th to 8th centuries. The Lombards synthesis of architectural styles marked the transition from Antiquity to the European Middle Ages, drawing on the heritage of Ancient Rome, Christian spirituality, Byzantine influence and Germanic northern Europe. The serial property testifies to the Lombards' major role in the spiritual and cultural development of Medieval European Christianity, notably by bolstering the monastic movement.",Europe and North America,,46.0941666667,13.4330555556,Cultural,2011,1,0,0,
175,Medici Villas and Gardens in Tuscany,"Twelve villas and two gardens spread across the Tuscan landscape make up this site which bears testimony to the influence the Medici family exerted over modern European culture through its patronage of the arts. Built between the 15th and 17th centuries, they represent an innovative system of construction in harmony with nature and dedicated to leisure, the arts and knowledge. The villas embody an innovative form and function, a new type of princely residence that differed from both the farms owned by rich Florentines of the period and from the military might of baronial castles. The Medici villas form the first example of the connection between architecture, gardens, and the environment and became an enduring reference for princely residences throughout Italy and Europe. Their gardens and integration into the natural environment helped develop the appreciation of landscape characteristic Humanism and the Renaissance.",Europe and North America,,43.8577777778,11.3041666667,Cultural,2013,1,0,0,
1650,The Porticoes of Bologna,"The serial property comprises twelve component parts consisting of ensembles of porticoes and their surrounding built areas, located within the Municipality of Bologna from the 12th century to the present. These portico ensembles are considered to be the most representative among city’s porticoes, which cover a total stretch of 62 km. Some of the porticoes are built of wood, others of stone or brick, as well as reinforced concrete, covering roads, squares, paths and walkways, either on one or both sides of a street. The property includes porticoed buildings that do not form a structural continuum with other buildings and therefore are not part of a comprehensive covered walkway or passage. The porticoes are appreciated as sheltered walkways and prime locations for merchant activities. In the 20th century, the use of concrete allowed the replacement of the traditional vaulted arcades with new building possibilities and a new architectural language for the porticoes emerged, as exemplified in the Barca district. Together, the selected porticoes reflect different typologies, urban and social functions and chronological phases. Defined as private property for public use, the porticoes have become an expression and element of Bologna’s urban identity.",Europe and North America,,44.4913888889,11.3327777778,Cultural,2021,1,0,0,
1538,"Ivrea, industrial city of the 20th century","The industrial city of Ivrea is located in the Piedmont region and developed as the testing ground for Olivetti, manufacturer of typewriters, mechanical calculators and office computers. It comprises a large factory and buildings designed to serve the administration and social services, as well as residential units. Designed by leading Italian urban planners and architects, mostly between the 1930s and the 1960s, this architectural ensemble reflects the ideas of the Community Movement (Movimento Comunità). A model social project, Ivrea expresses a modern vision of the relationship between industrial production and architecture.",Europe and North America,,45.4575,7.8691666667,Cultural,2018,1,1,0,
1708,Via Appia. <em>Regina Viarum</em>,"More than 800 kilometres long, the Via Appia is the oldest and most important of the great roads built by the Ancient Romans. Constructed and developed from 312 BCE to the 4th century CE, it was originally conceived as a strategic road for military conquest, advancing towards the East and Asia Minor. The Via Appia later enabled the cities it connected to grow and new settlements emerged, facilitating agricultural production and trade. This property, composed of 19 component parts, is a fully developed ensemble of engineering works, illustrating the advanced technical skill of Roman engineers in the construction of roads, civil engineering projects, infrastructure and sweeping land reclamation works, as well as a vast series of monumental structures including, for example, triumphal arches, baths, amphitheatres and basilicas, aqueducts, canals, bridges, and public fountains.",Europe and North America,,41.2927222222,13.2627222222,Cultural,2024,1,0,0,
1363,Prehistoric Pile Dwellings around the Alps,"This serial property of 111 small individual sites encompasses the remains of prehistoric pile-dwelling (or stilt house) settlements in and around the Alps built from around 5000 to 500 B.C. on the edges of lakes, rivers or wetlands. Excavations, only conducted in some of the sites, have yielded evidence that provides insight into life in prehistoric times during the Neolithic and Bronze Age in Alpine Europe and the way communities interacted with their environment. Fifty-six of the sites are located in Switzerland. The settlements are a unique group of exceptionally well-preserved and culturally rich archaeological sites, which constitute one of the most important sources for the study of early agrarian societies in the region.",Trentino-Alto Adige,,46.013,10.834,Cultural,2011,1,0,0,
1276,Rhaetian Railway in the Albula / Bernina Landscapes,"Rhaetian Railway in the Albula / Bernina Landscapes, brings together two historic railway lines that cross the Swiss Alps through two passes. Opened in 1904, the Albula line in the north western part of the property is 67 km long. It features an impressive set of structures including 42 tunnels and covered galleries and 144 viaducts and bridges. The 61 km Bernina pass line features 13 tunnels and galleries and 52 viaducts and bridges. The property is exemplary of the use of the railway to overcome the isolation of settlements in the Central Alps early in the 20th century, with a major and lasting socio-economic impact on life in the mountains. It constitutes an outstanding technical, architectural and environmental ensemble and embodies architectural and civil engineering achievements, in harmony with the landscapes through which they pass.",Europe and North America,,46.4983333333,9.8463888889,Cultural,2008,1,0,0,
1090,Monte San Giorgio,"The pyramid-shaped, wooded mountain of Monte San Giorgio beside Lake Lugano is regarded as the best fossil record of marine life from the Triassic Period (245–230 million years ago). The sequence records life in a tropical lagoon environment, sheltered and partially separated from the open sea by an offshore reef. Diverse marine life flourished within this lagoon, including reptiles, fish, bivalves, ammonites, echinoderms and crustaceans. Because the lagoon was near land, the remains also include land-based fossils of reptiles, insects and plants, resulting in an extremely rich source of fossils.",Europe and North America,,45.8888888889,8.9138888889,Natural,2003,1,0,0,
990,"Assisi, the Basilica of San Francesco and Other Franciscan Sites","Assisi, a medieval city built on a hill, is the birthplace of Saint Francis, closely associated with the work of the Franciscan Order. Its medieval art masterpieces, such as the Basilica of San Francesco and paintings by Cimabue, Pietro Lorenzetti, Simone Martini and Giotto, have made Assisi a fundamental reference point for the development of Italian and European art and architecture.",Europe and North America,,43.06616667,12.62244444,Cultural,2000,1,1,0,
726,Historic Centre of Naples,"From the Neapolis founded by Greek settlers in 470 B.C. to the city of today, Naples has retained the imprint of the successive cultures that emerged in Europe and the Mediterranean basin. This makes it a unique site, with a wealth of outstanding monuments such as the Church of Santa Chiara and the Castel Nuovo.",Europe and North America,"City and Province of Naples, Campania",40.85138889,14.26277778,Cultural,1995,1,0,0,
1571,Le Colline del Prosecco di Conegliano e Valdobbiadene,"Located in north-eastern Italy, the property includes part of the winegrowing landscape of the Prosecco wine production area. The landscape is characterized by ‘hogback’ hills, ciglioni – small plots of vines on narrow grassy terraces – forests, small villages and farmland. For centuries, this rugged terrain has been shaped and adapted by man. Since the 17th century, the use of ciglioni has created a particular chequerboard landscape consisting of rows of vines parallel and vertical to the slopes. In the 19th century, the bellussera technique of training the vines contributed to the aesthetic characteristics of the landscape.",Europe and North America,,45.9530277778,12.2261111111,Cultural,2019,1,0,0,
